,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,422M,"Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres.",36,"1,00%",NT,NT,NT,"2,00%",NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de mao de obra - Art 118 - XXI",85% para municipio Tomador,
,423M,"Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.",37,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim, se Se sessão Mão de obra-Art 118-XXIII-Não se aplica a planos de saude por meio de cooperativa",85% para municipio Tomador,
,501M,Medicina veterinária e zootecnia.,38,NT,NT,NT,NT,NT,"11,00%","4,65%",NT,NT,NT,NT,NT,,,,,,,
,502M,"Hospitais, clínicas, ambulatórios, prontos socorros e congêneres, na área veterinária.",39,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,503M,Laboratórios de análise na área veterinária.,40,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,504M,"Inseminação artificial, fertilização in vitro e congêneres.",41,NT,NT,NT,NT,NT,"11,00%","4,65%",NT,NT,NT,NT,NT,,,,,,,
,505M,Bancos de sangue e de órgãos e congêneres.,42,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,506M,"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.",43,NT,NT,NT,NT,NT,"11,00%","4,65%",NT,NT,NT,NT,NT,,,,,,,
,507M,"Unidade de atendimento, assistência ou tratamento móvel e congêneres.",44,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,508M,"Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.",45,NT,NT,NT,NT,NT,"11,00%","4,65%",NT,NT,NT,NT,NT,,,,,,,
,509M,Planos de atendimento e assistência médico veterinária.,46,"1,00%",NT,NT,NT,"2,00%",NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,601M,"Barbearia, cabeleireiros, manicuros, pedicuros e congêneres.",47,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,602M,"Esteticistas, tratamento de pele, depilação e congêneres.",48,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,603M,"Banhos, duchas, sauna, massagens e congêneres.",49,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,604M,"Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.",50,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,605M,"Centros de emagrecimento, spa e congêneres.",51,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,606M,"Aplicação de tatuagens, piercings e congêneres",52,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,701M-Engenharia ..,"Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres.",53,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,701M -Paisagismo,Paisagismo e congêneres.,53,NT,"11,00%",NT,NT,NT,"11,00%","4,65%",NT,NT,NT,NT,NT,,,,,"Sim, para serviços  de Paisagismo-Art 117- I e III",,
,702M-Manut  mensal,"Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).",54,"1,00%","11,00%",NT,NT,"4,00%","11,00%","4,65%",NT,NT,NT,NT,NT,,,,,,,Manutenção predial
,702M-Execução,"Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).",54,"1,00%",NT,NT,NT,"4,00%","11,00%",NT,NT,NT,NT,NT,NT,,,,,,,execução de obra
,703M,"Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia.",55,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,704M,Demolição.,56,"1,00%",NT,NT,NT,"4,00%","11,00%",NT,NT,NT,NT,NT,NT,,,,,"Sim, para empreitada parcial -  Art.  117 -III",,
,705M-Manut mensal,"Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).",57,"1,00%","11,00%",NT,NT,"4,00%","11,00%","4,65%",NT,NT,NT,NT,NT,,,,,,,Manutenção predial
,705M-Execução,"Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).",57,"1,00%",NT,NT,NT,"4,00%","11,00%",NT,NT,NT,NT,NT,NT,,,,,,,execução de obra
,706M,"Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.",58,NT,NT,NT,NT,NT,"11,00%",NT,NT,NT,NT,NT,NT,,,cosita 100/2014,cosita 100/2014,,,
,707M,"Recuperação, raspagem, polimento e lustração de pisos e congêneres.",59,NT,NT,NT,NT,NT,"11,00%","4,65%",NT,NT,NT,NT,NT,,,,,,,
,708M,Calafetação.,60,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,709M-Cacamba,"Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.",61,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,709M-Coleta e Limp,"Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.",61,"1,00%","11,00%",NT,NT,"2,00%","11,00%","4,65%",NT,NT,NT,NT,NT,,,,,,,
,710M,"Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres.",62,"1,00%","11,00%",NT,NT,"2,00%","11,00%","4,65%",NT,NT,NT,NT,NT,,,,,"Sim, Art. 117 - I  - Simples Nacional anexo IV",,
,711M,"Decoração e jardinagem, inclusive corte e poda de árvores.",63,"1,00%","11,00%",NT,NT,"2,00%","11,00%","4,65%",NT,NT,NT,NT,NT,,,,,"Sim, Art. 117 - I  - Simples Nacional anexo IV",,
,712M,"Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos.",64,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim, Se sessão de Mão de obra- Art. 118- V (OBS - TRIBUTADA NO ANEXO IV)",,
,713M,"Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.",65,NT,NT,NT,NT,NT,"11,00%","4,65%",NT,NT,NT,NT,NT,,,,,"Sim, Art. 117 - I  - Simples Nacional anexo IV",,
,716M,"Florestamento, reflorestamento, semeadura, adubação e congêneres.",66,"1,00%","11,00%",NT,NT,"2,00%","11,00%",NT,NT,NT,NT,NT,NT,,,,,"Sim, Art. 117 - IV",, 
,717M-Execução,"Escoramento, contenção de encostas e serviços congêneres.",67,"1,00%",NT,NT,NT,"2,00%","11,00%",NT,NT,NT,NT,NT,NT,,,,,,,Execução isolada
,717M-Manutenção,"Escoramento, contenção de encostas e serviços congêneres.",67,"1,00%","11,00%",NT,NT,"2,00%","11,00%","4,65%",NT,NT,NT,NT,NT,,,,,,,"Manutenção, limpeza e consercação"
,718M,"Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres.",68,"1,00%","11,00%",NT,NT,"2,00%","11,00%","4,65%",NT,NT,NT,NT,NT,,,,,"Sim, Art. 117 - I ",, 
,719M,"Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo.",69,"1,00%",NT,NT,NT,"4,00%",NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,720M,"Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres.",70,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,721M,"Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais.",71,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,722M,Nucleação e bombardeamento de nuvens e congêneres.,72,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,801M,"Ensino regular pré escolar, fundamental, médio e superior.",73,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de Mao de Obra-Art.118 -X - vide Resp. consulta 34/2012",,
,802M,"Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.",74,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de Mao de Obra-Art.118 -X - vide Resp. consulta 34/2012",,
,901M,"Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, aparthotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).",75,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,art 118,,,," Sim, se Sessão de Mao de Obra -  B.legal -art. 118  - VII",,
,902M,"Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.",76,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,903M,Guias de turismo.,77,NT,NT,NT,NT,NT,NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
