,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,SN,,,,N,,,,MEI,,,,,,,
,CÓDIGO DO SERVIÇO,DESCRIÇÃO DO SERVIÇO,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,,,,
,413M,Ortóptica.,"1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,414M,Próteses sob encomenda.,"1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,415M,Psicanálise.,"1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,416M,Psicologia.,"1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,417M,"Casas de repouso e de recuperação, creches, asilos e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,418M,"Inseminação artificial, fertilização in vitro e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,419M,"Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,420M,"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,421M,"Unidade de atendimento, assistência ou tratamento móvel e congêneres.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",,
,422M,"Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres.","1,00%",NT,NT,NT,"5,00%",art 118,"4,65%","1,50%",NT,NT,NT,NT,,"Sim, se sessão de mao de obra - Art 118 - XXI",85% para municipio Tomador,
